Hf(at%),Mo(at%),Nb(at%),Re(at%),Ru(at%),Ta(at%),Ti(at%),W(at%),Zr(at%),Ductility Ranking (0-5),Predicted Solidus (°C),Hardness (GPa)
0,0,25,25,25,0,0,25,0,1,1801.041279,12.3058236
20,0,20,0,0,20,20,0,20,4,1851.303691,3.3451677
20,0,20,0,0,20,20,0,20,4,1851.303691,3.3216309
20,0,20,0,0,20,20,0,20,5,1851.303691,3.2059083
30,0,15,0,0,15,0,0,40,5,1925.245215,2.5380516
25,0,0,0,0,25,0,0,50,1,1936.187764,5.7446137
37.5,0,0,0,0,25,0,0,37.5,1,1976.908296,6.2365982
25,0,25,25,0,0,0,25,0,1,1984.060978,8.4559223
0,25,25,0,25,0,0,25,0,0,2010.525852,10.5807723
25,25,25,25,0,0,0,0,0,0,2037.488875,7.953477
45,15,20,0,0,20,0,0,0,2,2049.113503,4.8051031
0,25,25,25,25,0,0,0,0,0,2085.29987,10.9681488
20,0,20,20,20,0,0,20,0,0,2087.569846,10.6945335
0,20,20,20,20,0,0,20,0,1,2096.932923,8.7102505
25,0,25,25,25,0,0,0,0,0,2097.8209,7.9629571
30,25,30,0,0,15,0,0,0,2,2103.333208,4.6338075
25,25,25,0,0,0,0,25,0,1,2108.773166,5.9185245
25,25,0,25,25,0,0,0,0,0,2111.808014,10.8779244
20,20,20,20,0,0,0,20,0,1,2126.057079,8.1865567
0,33.33333333,0,0,33.33333333,0,0,33.33333333,0,1,2130.157723,10.7785468
25,0,25,0,25,25,0,0,0,0,2140.888665,7.3395588
20,20,20,20,20,0,0,0,0,0,2147.061019,10.8118906
25,25,0,25,0,25,0,0,0,0,2151.071361,8.8691239
25,25,25,0,25,0,0,0,0,1,2153.798586,8.4193095
0,0,25,0,25,25,0,25,0,1,2157.043839,8.1623661
0,0,25,25,25,25,0,0,0,1,2157.604853,7.9675337
20,20,0,20,20,0,0,20,0,0,2164.558979,10.9344781
25,0,25,25,0,25,0,0,0,1,2165.888209,6.6334548
25,25,0,0,0,25,0,25,0,1,2171.922431,6.5147901
25,0,0,25,25,0,0,25,0,0,2175.489763,11.0309136
25,25,25,0,0,25,0,0,0,2,2177.050601,4.6897074
0,25,25,0,25,25,0,0,0,0,2177.923224,6.1077996
25,0,25,0,25,0,0,25,0,0,2178.323707,7.070847
33.33333333,0,0,33.33333333,33.33333333,0,0,0,0,0,2181.108663,10.5994056
20,20,20,0,20,20,0,0,0,1,2191.752315,7.3993815
20,20,20,20,0,20,0,0,0,1,2194.066095,6.5147901
20,0,20,20,0,20,0,20,0,1,2197.824584,7.1967035
20,0,20,20,20,20,0,0,0,0,2198.150565,8.2140163
20,0,20,0,20,20,0,20,0,1,2199.403654,7.5124889
20,20,20,0,20,0,0,20,0,0,2201.496871,8.4186557
33.33333333,33.33333333,0,0,33.33333333,0,0,0,0,1,2209.798379,6.5834391
25,0,0,25,0,25,0,25,0,0,2211.844463,10.2545261
0,0,20,20,20,20,0,20,0,1,2218.434374,9.6138021
25,0,25,0,0,25,0,25,0,2,2234.687726,5.321932
20,20,20,0,0,20,0,20,0,1,2235.874525,5.7884183
25,25,0,0,25,0,0,25,0,1,2242.087706,8.1731538
20,20,0,20,0,20,0,20,0,1,2254.091225,8.1166001
25,25,0,0,25,25,0,0,0,1,2266.887543,7.94367
20,20,0,0,20,20,0,20,0,1,2267.941944,8.326143
0,20,20,0,20,20,0,20,0,1,2270.652029,8.2254578
0,0,0,33.33333333,33.33333333,0,0,33.33333333,0,5,2273.140276,4.5442369
20,20,0,20,20,20,0,0,0,1,2277.397735,9.731813
25,0,0,0,25,25,0,25,0,1,2279.497005,8.2006134
25,0,0,25,25,25,0,0,0,0,2281.151867,7.508893
0,25,0,25,25,0,0,25,0,1,2283.145631,11.9642131
