name_com_equi,Alloy ID,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,Density_calc,dHmix,dSmix,dGmix,Tm_x,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Hot-Cold_Working,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure_,Multiphase,IM_Structure,Microstructure,Phases,References,system,e_above,e_above_im,hmix,stability,phase,cost,bcc_delta,hcp_delta,decomposition,Tm_y,T,density,youngs,delta_r,gam_r,chi,lambda_s,vec,hmix_m,omega,tann_s,im_eform,kappa,him_hmix,m1,m2,m3,m4,m6,m7,mvec,full_name,X,y,mean_VEC,VEC_dif,mean_electronegativity,electronegativity_dif,atom_radius_dif,a2,melting_point_dif,Smix,aomiga,Hmix,Hmix_dif,Hmix_z,Hmix_p,Hmix_n,phase_x,label,phase_y,Tm,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,REFERENCE: title
Mo Ta Ti V,Alloy 0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.599763191,-2.75,11.52629192,598.9681468,2290.75,10.74627632,4.086753027,0.265459507,5.0,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.4028/www.scientific.net/MSF.898.638,Mo Ta Ti V,-0.065,-0.065,-0.071,stable,BCC,66.13,-0.185,-0.046,['Mo1Ta1Ti1V1_SS_BCC'],2578.0,2320,9.586536871650932,189.75,2.9350661861552125,1.079702072761785,0.2654595072699413,1.337999022548822,5.0,-2.45,12.12853715597542,-0.2771688507813869,-0.202731107999999,5.366273376151151,5.3190619289494725,stable,stable,stable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1016/j.actamat.2016.01.018,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 0963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,1800,1440.0,,,BCC,S,,BCC,BCC_SS,10.1016/j.actamat.2016.01.018,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1080/21663831.2019.1610105,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 1351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1080/21663831.2019.1610105,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 1352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1080/21663831.2019.1610105,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 1353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1080/21663831.2019.1610105,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Nb Ta Zr,Alloy 1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,11.06,3.5,11.53,697.736195,2668.5,8.79,3.95,0.12,4.5,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1080/21663831.2019.1610105,Hf Nb Ta Zr,-0.052,-0.052,0.012,stable,BCC,160.31,-0.116,-0.077,['Hf1Nb1Ta1Zr1_SS_BCC'],2668.0,2402,11.061625152625153,109.25,3.3333333333333384,1.0744765033333317,0.123161479367536,1.0373710018978166,4.5,3.3,9.318874858799273,-0.286845032538689,-0.0262940250000009,4.354794949167738,0.7734684077849188,stable,unstable,unstable,stable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf Ta Ti Zr,Alloy 0080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.20859028,1.75,11.52629192,565.9615911,2164.5,16.05546601,4.851813611,0.10401322,4.25,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.1002/adma.201701678,Hf Ta Ti Zr,-0.043,-0.043,0.022,stable,HCP,158.86,-0.048,-0.052,['Hf1Ta1Ti1Zr1_SS_HCP'],2466.0,2220,10.184451072522982,112.0,4.366514640929951,1.1154047804149532,0.1040132203135735,0.6045354221347725,4.25,1.7,16.719979677647213,-0.2651273801500776,-0.0262940250000009,7.019192683952999,1.4152518131673757,stable,stable,stable,unstable,stable,stable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Nb Ta V,Alloy 0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,10.66950133,-3.25,11.52629192,651.7853358,2492.75,9.809406411,3.464885924,0.257135665,5.25,AC,,,,,,,,BCC,S,,BCC,BCC_SS,10.3390/e18050189,Mo Nb Ta V,-0.067,-0.067,-0.04,stable,BCC,67.58,-0.235,-0.06,['Mo1Nb1Ta1V1_SS_BCC'],2780.0,2502,10.68399593702387,187.0,3.0386856273138148,1.0794013866540757,0.2571356645819479,1.2483031056170473,5.25,-3.1500000000000004,10.172456385453048,-0.2988865031699983,-0.202731107999999,4.662084298763098,4.774180163477952,stable,stable,stable,stable,stable,unstable,BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
